City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Mahebourg,MU,71.6,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
6,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
10,San Quintin,MX,77.68,clear sky,30.48,-115.95,Old Mill Hotel
14,Sao Filipe,CV,79.75,clear sky,14.9,-24.5,Tortuga B&B
19,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
25,Atuona,PF,78.19,light rain,-9.8,-139.03,Villa Enata
26,Bambous Virieux,MU,71.6,scattered clouds,-20.34,57.76,Casa Tia Villa
28,Amudalavalasa,IN,76.06,broken clouds,18.42,83.9,Yo Chan
43,Marsabit,KE,70.12,broken clouds,2.33,37.99,Chicho Hotel
44,Mongu,ZM,79.09,few clouds,-15.25,23.13,Country Lodge Mongu
50,Sao Joao Da Barra,BR,73.4,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
56,Tura,IN,70.38,broken clouds,25.52,90.22,Hotel RIKMAN Continental
58,Kutum,SD,78.82,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
60,Puerto Ayora,EC,78.8,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
64,Ambilobe,MG,72.27,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
67,Kapaa,US,71.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
74,Rikitea,PF,74.93,light rain,-23.12,-134.97,Pension Maro'i
76,Arraial Do Cabo,BR,71.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
80,Port Hedland,AU,73.4,clear sky,-20.32,118.57,The Esplanade Hotel
84,Vao,NC,74.07,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
85,Rosarito,MX,77.0,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
96,Coihaique,CL,77.0,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
97,Ponta Do Sol,PT,70.0,few clouds,32.67,-17.1,Hotel do Campo
103,Faanui,PF,79.7,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
111,Saldanha,ZA,78.8,clear sky,-33.01,17.94,Blue Bay Lodge
117,Tezu,IN,71.13,broken clouds,27.92,96.17,Circuit House
124,Havelock,US,75.2,scattered clouds,34.88,-76.9,Sherwood Motel
150,Dingle,PH,75.58,overcast clouds,11.0,122.67,Camp Pasica
153,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
157,Naze,JP,71.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
159,San Andres,CO,78.8,broken clouds,12.58,-81.7,Hotel Arena Blanca
165,Sibu,MY,75.2,light rain,2.3,111.82,RH HOTEL (4 Star)
168,Pleasanton,US,73.99,smoke,37.66,-121.87,Courtyard by Marriott Pleasanton
169,Namibe,AO,73.33,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
170,Doume,CM,71.8,overcast clouds,4.23,13.45,Hotel Universel
172,Karratha,AU,73.44,overcast clouds,-20.74,116.85,ibis Styles Karratha
173,Cabinda,AO,78.46,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
180,Buta,CD,72.05,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
185,Malakal,SS,78.96,light rain,9.53,31.66,Nile Palace Hotel
203,Kihei,US,78.8,few clouds,20.79,-156.47,Maui Sunset
205,Hervey Bay,AU,71.01,clear sky,-25.3,152.85,Shelly Bay Resort
206,Neiafu,TO,75.2,broken clouds,-18.65,-173.98,Mystic Sands
207,San Jose,US,79.0,haze,37.34,-121.89,The Westin San Jose
214,Bandarbeyla,SO,77.54,clear sky,9.49,50.81,REER XOOSHLE GROUP
216,Nabire,ID,76.69,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
217,Bosaso,SO,79.27,clear sky,11.28,49.18,Red Sea Hotel
220,Zwedru,LR,74.53,light rain,6.07,-8.13,Elijah Worjloh
221,Bambanglipuro,ID,76.44,overcast clouds,-7.95,110.28,Puri Brata
226,Dicabisagan,PH,79.21,moderate rain,17.08,122.42,Nancy Montanes Bernardo
235,Rantauprapat,ID,73.78,light rain,2.1,99.83,Permata Land Hotel & Resort
236,Victoria,HK,75.0,scattered clouds,22.29,114.16,Mini Hotel Central
241,Poum,NC,76.57,clear sky,-20.23,164.02,Gîte kajeon
246,Martapura,ID,75.24,overcast clouds,-3.42,114.85,Montana Hotel Syariah
248,Soyo,AO,78.6,overcast clouds,-6.13,12.37,Hotel Mpampa
251,Alice Springs,AU,71.6,clear sky,-23.7,133.88,Desert Palms Alice Springs
258,Tripoli,LY,70.47,clear sky,32.88,13.19,Al Waddan Hotel
269,Yenagoa,NG,77.88,light rain,4.92,6.26,Amba Hotels Limited
281,Azul,AR,73.0,clear sky,-36.78,-59.86,Cabañas Dulcinea
288,Sinjar,IQ,71.73,overcast clouds,36.32,41.88,زوماني فون 1
289,Yamethin,MM,73.83,overcast clouds,20.43,96.15,U Mya
292,Panlaitan,PH,79.5,light rain,12.12,119.85,Panlaitan Cetro Beach
299,Anahuac,MX,79.79,clear sky,27.23,-100.15,Rancho Guadalupe
304,Kahului,US,78.8,few clouds,20.89,-156.47,Maui Seaside Hotel
307,Yenangyaung,MM,76.32,moderate rain,20.47,94.88,Hotel Country
308,Atambua,ID,75.29,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
313,Maxixe,MZ,77.0,few clouds,-23.86,35.35,Oceano
314,Jiwani,PK,73.2,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
321,Mount Isa,AU,73.4,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
323,Quang Ngai,VN,72.75,overcast clouds,15.12,108.8,Central Hotel
332,Banjar,ID,77.94,overcast clouds,-8.19,114.97,The Hamsa Resort
346,Salto,UY,75.2,clear sky,-31.38,-57.97,Gran Hotel Uruguay
347,Lompoc,US,75.2,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
355,La Libertad,EC,78.8,broken clouds,-2.23,-80.9,Playa Canela Hotel Boutique
