City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sola,VU,-13.88,167.55,82.4,78,75,11.41,broken clouds
1,Punta Arenas,CL,-53.15,-70.92,55.4,66,75,14.99,broken clouds
2,Bongandanga,CD,1.5,21.05,70.97,97,98,1.7,overcast clouds
3,Port Alfred,ZA,-33.59,26.89,66.9,78,84,22.28,broken clouds
4,Mahebourg,MU,-20.41,57.7,71.6,64,40,10.29,scattered clouds
5,New Norfolk,AU,-42.78,147.06,53.01,77,100,1.97,overcast clouds
6,Souillac,MU,-20.52,57.52,71.6,64,40,10.29,scattered clouds
7,Airai,TL,-8.93,125.41,60.48,82,97,2.08,overcast clouds
8,Albany,US,42.6,-73.97,48.99,73,99,4.0,overcast clouds
9,Omsukchan,RU,62.53,155.8,12.76,93,100,6.08,overcast clouds
10,San Quintin,MX,30.48,-115.95,77.68,36,0,9.22,clear sky
11,Rocha,UY,-34.48,-54.33,64.89,53,0,8.97,clear sky
12,Dikson,RU,73.51,80.55,20.05,98,96,8.95,overcast clouds
13,Tilichiki,RU,60.47,166.1,25.07,96,41,5.21,scattered clouds
14,Sao Filipe,CV,14.9,-24.5,79.75,73,0,10.63,clear sky
15,Laibin,CN,23.7,109.27,69.44,70,100,10.45,overcast clouds
16,Ilulissat,GL,69.22,-51.1,21.2,57,100,6.93,overcast clouds
17,Conde,BR,-7.26,-34.91,86.0,66,40,11.41,scattered clouds
18,Ribeira Grande,PT,38.52,-28.7,64.4,88,75,14.99,light intensity drizzle rain
19,Vaini,TO,-21.2,-175.2,73.4,88,75,8.05,broken clouds
20,Berdigestyakh,RU,62.1,126.7,-7.19,91,45,3.18,scattered clouds
21,Avarua,CK,-21.21,-159.78,75.2,94,88,16.11,overcast clouds
22,Butaritari,KI,3.07,172.79,81.68,77,62,9.17,broken clouds
23,Geraldton,AU,-28.77,114.6,57.2,93,90,10.29,shower rain
24,Lasa,IT,46.62,10.7,50.0,66,75,3.36,broken clouds
25,Atuona,PF,-9.8,-139.03,78.19,77,14,14.56,light rain
26,Bambous Virieux,MU,-20.34,57.76,71.6,64,40,10.29,scattered clouds
27,Gamboula,CF,4.12,15.14,70.52,94,22,1.99,moderate rain
28,Amudalavalasa,IN,18.42,83.9,76.06,82,68,5.17,broken clouds
29,Kaitangata,NZ,-46.28,169.85,51.01,64,4,4.0,clear sky
30,Hithadhoo,MV,-0.6,73.08,83.39,73,100,11.21,light rain
31,Lebu,CL,-37.62,-73.65,58.77,76,8,7.47,clear sky
32,Castro,BR,-24.79,-50.01,67.62,56,66,8.28,light rain
33,Nome,US,64.5,-165.41,12.2,85,20,3.36,few clouds
34,Nanortalik,GL,60.14,-45.24,30.13,88,45,24.43,scattered clouds
35,East London,ZA,-33.02,27.91,62.6,88,75,11.41,broken clouds
36,Mataura,NZ,-46.19,168.86,48.0,79,41,7.0,scattered clouds
37,Daru,PG,-9.08,143.21,80.65,83,100,12.82,overcast clouds
38,Tommot,RU,58.96,126.29,-9.65,88,98,1.39,overcast clouds
39,Qaanaaq,GL,77.48,-69.36,0.95,74,0,7.23,clear sky
40,Staryy Nadym,RU,65.61,72.68,28.26,96,64,18.41,broken clouds
41,Tiznit,MA,29.58,-9.5,72.79,28,0,0.85,clear sky
42,Te Anau,NZ,-45.42,167.72,41.95,86,100,1.74,overcast clouds
43,Marsabit,KE,2.33,37.99,70.12,67,70,15.68,broken clouds
44,Mongu,ZM,-15.25,23.13,79.09,21,21,5.44,few clouds
45,Homer,US,59.64,-151.55,24.01,53,1,9.17,clear sky
46,Cidreira,BR,-30.18,-50.21,66.45,62,21,9.48,few clouds
47,Kulhudhuffushi,MV,6.62,73.07,82.58,69,43,5.23,scattered clouds
48,Ushuaia,AR,-54.8,-68.3,57.2,58,75,8.05,light rain
49,Hobart,AU,-42.88,147.33,57.2,82,90,5.82,overcast clouds
50,Sao Joao Da Barra,BR,-21.64,-41.05,73.4,69,75,16.11,broken clouds
